"model","archetype","rank","gene","score","abs_score"
"A6","A2",56,"IMMP2L",-0.524577553656998,0.524577553656998
"A6","A2",57,"PIK3R1",-0.522605950178181,0.522605950178181
"A6","A2",58,"H3-3B",-0.521263081043834,0.521263081043834
"A6","A2",59,"CCSER2",-0.514830113374327,0.514830113374327
"A6","A2",60,"ZBTB20",-0.512173596402801,0.512173596402801
"A6","A2",61,"LINC01811",-0.511553272108313,0.511553272108313
"A6","A2",62,"PRSS1",0.511180903470358,0.511180903470358
"A6","A2",63,"HSP90AB1",-0.510986425504569,0.510986425504569
"A6","A2",64,"NFIA",-0.51067036892777,0.51067036892777
"A6","A2",65,"SSB",-0.508993675841624,0.508993675841624
"A6","A2",66,"LSAMP",-0.507795371063419,0.507795371063419
"A6","A2",67,"PDE4D",-0.507518453313024,0.507518453313024
"A6","A2",68,"JUN",-0.507225183714608,0.507225183714608
"A6","A2",69,"KANK1",-0.503564917558688,0.503564917558688
"A6","A2",70,"SQLE",0.502973173070042,0.502973173070042
"A6","A2",71,"ZNRF3",-0.502192478481053,0.502192478481053
"A6","A2",72,"CCSER1",-0.500158008766746,0.500158008766746
"A6","A2",73,"BMP4",-0.494013551980052,0.494013551980052
"A6","A2",74,"CCT6A",-0.493910266277489,0.493910266277489
"A6","A2",75,"EHF",-0.491745515177319,0.491745515177319
"A6","A2",76,"CCT5",-0.49115251228759,0.49115251228759
"A6","A2",77,"LINC01473",-0.489820889417598,0.489820889417598
"A6","A2",78,"NPM1",-0.487180885558833,0.487180885558833
"A6","A2",79,"LINC00511",-0.485568066461202,0.485568066461202
"A6","A2",80,"SNTB1",-0.478602770491033,0.478602770491033
"A6","A2",81,"SLC25A5",-0.477642761596682,0.477642761596682
"A6","A2",82,"CCT3",-0.475944063923347,0.475944063923347
"A6","A2",83,"ACSS2",0.473531336954873,0.473531336954873
"A6","A2",84,"ACTG1",-0.469503500596181,0.469503500596181
"A6","A2",85,"MGAT5",-0.468956367721785,0.468956367721785
"A6","A2",86,"ATP1B1",-0.468850606539196,0.468850606539196
"A6","A2",87,"FA2H",0.468724731518382,0.468724731518382
"A6","A2",88,"FHIT",-0.468723623192995,0.468723623192995
"A6","A2",89,"CCT2",-0.465340911627959,0.465340911627959
"A6","A2",90,"PRAP1",0.463974966946479,0.463974966946479
"A6","A2",91,"ALDH1A1",-0.46381952322246,0.46381952322246
"A6","A2",92,"SRSF7",-0.458506408386945,0.458506408386945
"A6","A2",93,"CYB5B",-0.454439554456774,0.454439554456774
"A6","A2",94,"MXD1",0.45323574743044,0.45323574743044
"A6","A2",95,"CBR1",-0.45140953383717,0.45140953383717
"A6","A2",96,"TSC22D1",-0.450655487510781,0.450655487510781
"A6","A2",97,"LGALS3",0.449320894897262,0.449320894897262
"A6","A2",98,"NQO1",-0.446542014456742,0.446542014456742
"A6","A2",99,"MARCKSL1",-0.445763193865822,0.445763193865822
"A6","A2",100,"ISG20",0.44474378931198,0.44474378931198
"A6","A3",1,"CES2",2.67867646603546,2.67867646603546
"A6","A3",2,"ALDOB",2.64302962980445,2.64302962980445
"A6","A3",3,"RBP2",2.56692076794534,2.56692076794534
"A6","A3",4,"PRAP1",2.47565216786705,2.47565216786705
"A6","A3",5,"ANPEP",2.28599110179283,2.28599110179283
"A6","A3",6,"SLC40A1",2.21570615318563,2.21570615318563
"A6","A3",7,"FABP6",2.17794915088105,2.17794915088105
"A6","A3",8,"C17orf78",2.16181101115898,2.16181101115898
"A6","A3",9,"B2M",2.01097477089253,2.01097477089253
"A6","A3",10,"KRT20",1.99602610201431,1.99602610201431
"A6","A3",11,"LGALS3",1.92290147270318,1.92290147270318
"A6","A3",12,"FTH1",1.88275689650391,1.88275689650391
"A6","A3",13,"HLA-C",1.86334016656802,1.86334016656802
"A6","A3",14,"ITM2B",1.82121876624759,1.82121876624759
"A6","A3",15,"GPX4",1.82030293783017,1.82030293783017
"A6","A3",16,"MTTP",1.81648171763011,1.81648171763011
"A6","A3",17,"MUC13",1.75956337692514,1.75956337692514
"A6","A3",18,"ENSG00000289474",-1.74200824219038,1.74200824219038
"A6","A3",19,"APOA4",1.70774718605667,1.70774718605667
"A6","A3",20,"FABP2",1.67871344294771,1.67871344294771
"A6","A3",21,"HSD17B2",1.62157628133231,1.62157628133231
"A6","A3",22,"ANGPTL4",1.62101136877506,1.62101136877506
"A6","A3",23,"IL32",1.61335826110983,1.61335826110983
"A6","A3",24,"CTSD",1.59597982253387,1.59597982253387
"A6","A3",25,"OLFM4",-1.56989658209233,1.56989658209233
"A6","A3",26,"APOA1",1.55008540162079,1.55008540162079
"A6","A3",27,"EPCAM",1.54749251061686,1.54749251061686
"A6","A3",28,"RNF186",1.51157311696949,1.51157311696949
"A6","A3",29,"CBR1",1.50763266014413,1.50763266014413
"A6","A3",30,"CLDN7",1.47931200930969,1.47931200930969
"A6","A3",31,"SERPINA1",1.47272485902924,1.47272485902924
"A6","A3",32,"SI",1.46262072267806,1.46262072267806
"A6","A3",33,"ADIRF",1.45910524935385,1.45910524935385
"A6","A3",34,"HLA-A",1.42692091051202,1.42692091051202
"A6","A3",35,"PRR13",1.41270003035091,1.41270003035091
"A6","A3",36,"PTTG1IP",1.40808964008507,1.40808964008507
"A6","A3",37,"APOC3",1.39759279785836,1.39759279785836
"A6","A3",38,"PLAC8",1.39728661282804,1.39728661282804
"A6","A3",39,"RHOC",1.38003135537246,1.38003135537246
"A6","A3",40,"FXYD3",1.37690076822218,1.37690076822218
"A6","A3",41,"SPINT2",1.37680900350798,1.37680900350798
"A6","A3",42,"TSPAN8",1.37650614275481,1.37650614275481
"A6","A3",43,"SLC6A8",1.36963528021589,1.36963528021589
"A6","A3",44,"TM4SF5",1.35693407277838,1.35693407277838
"A6","A3",45,"GLRX",1.34747963773079,1.34747963773079
"A6","A3",46,"MYL12B",1.33312376084834,1.33312376084834
"A6","A3",47,"PRSS8",1.33034709479046,1.33034709479046
"A6","A3",48,"C15orf48",1.317927048621,1.317927048621
"A6","A3",49,"S100A14",1.317311374337,1.317311374337
"A6","A3",50,"SLC3A1",1.28216214998978,1.28216214998978
"A6","A3",51,"ERO1A",1.26954700545268,1.26954700545268
"A6","A3",52,"ATP1B1",1.26553122222807,1.26553122222807
"A6","A3",53,"CYP3A4",1.262117208939,1.262117208939
"A6","A3",54,"CDHR5",1.25512138141442,1.25512138141442
"A6","A3",55,"ACY1",1.25417029962046,1.25417029962046
"A6","A3",56,"FABP1",1.24153029463705,1.24153029463705
"A6","A3",57,"HLA-B",1.24134566080279,1.24134566080279
"A6","A3",58,"CYP2S1",1.2367732286657,1.2367732286657
"A6","A3",59,"TSPAN1",1.21329909117136,1.21329909117136
"A6","A3",60,"SMIM24",1.203403862188,1.203403862188
"A6","A3",61,"SLC5A1",1.19995272126027,1.19995272126027
"A6","A3",62,"SLC12A2",-1.19825378117084,1.19825378117084
"A6","A3",63,"GSTA1",1.19806004259304,1.19806004259304
"A6","A3",64,"INSIG1",1.19608350367986,1.19608350367986
"A6","A3",65,"TMEM59",1.18479704976175,1.18479704976175
"A6","A3",66,"VDAC2",1.17909669775591,1.17909669775591
"A6","A3",67,"TM4SF20",1.17825485445273,1.17825485445273
"A6","A3",68,"PHGR1",1.17667188354607,1.17667188354607
"A6","A3",69,"TNFSF10",1.17653893322582,1.17653893322582
"A6","A3",70,"PKIB",1.16391445638575,1.16391445638575
"A6","A3",71,"PRDX6",1.15729983770731,1.15729983770731
"A6","A3",72,"CDA",1.15709393574883,1.15709393574883
"A6","A3",73,"TIMP2",1.1550079130818,1.1550079130818
"A6","A3",74,"MUC17",1.15401291720128,1.15401291720128
"A6","A3",75,"HSPA5",1.15176248032587,1.15176248032587
"A6","A3",76,"EFNA1",1.13816995681087,1.13816995681087
"A6","A3",77,"SLC22A18",1.13461323545316,1.13461323545316
"A6","A3",78,"NAP1L1",-1.13156029084995,1.13156029084995
"A6","A3",79,"SLC50A1",1.13038880068009,1.13038880068009
"A6","A3",80,"TFF1",1.1259775841467,1.1259775841467
"A6","A3",81,"ABCG2",1.12236796401512,1.12236796401512
"A6","A3",82,"SLC11A2",1.11134295458435,1.11134295458435
"A6","A3",83,"CTSZ",1.11086277401001,1.11086277401001
"A6","A3",84,"PTGR1",1.1080878184917,1.1080878184917
"A6","A3",85,"TMEM45B",1.09548981406376,1.09548981406376
"A6","A3",86,"TM4SF4",1.09252190776153,1.09252190776153
"A6","A3",87,"BTNL8",1.07327265924269,1.07327265924269
"A6","A3",88,"LYZ",-1.06469133279719,1.06469133279719
"A6","A3",89,"KRT7",-1.05814789163892,1.05814789163892
"A6","A3",90,"GBP3",1.05581915184189,1.05581915184189
"A6","A3",91,"SDCBP2",1.04815931205755,1.04815931205755
"A6","A3",92,"KLK7",1.03875377472216,1.03875377472216
"A6","A3",93,"MYL12A",1.02234646146768,1.02234646146768
"A6","A3",94,"MDK",1.02055761026009,1.02055761026009
"A6","A3",95,"CTSB",1.01900288530727,1.01900288530727
"A6","A3",96,"CYP3A5",1.01339848652054,1.01339848652054
"A6","A3",97,"CFL1",1.01274826004123,1.01274826004123
"A6","A3",98,"LMAN1",1.01194049953472,1.01194049953472
"A6","A3",99,"RBCK1",1.01068745769054,1.01068745769054
"A6","A3",100,"CALM1",0.997289521909429,0.997289521909429
"A6","A4",1,"CA9",1.77858960899377,1.77858960899377
"A6","A4",2,"LYZ",1.72107319375718,1.72107319375718
"A6","A4",3,"EGLN3",1.68625953734421,1.68625953734421
"A6","A4",4,"ENSG00000289474",-1.59206109017223,1.59206109017223
"A6","A4",5,"IGFBP2",1.53771723913095,1.53771723913095
"A6","A4",6,"PLIN2",1.51286741478853,1.51286741478853
"A6","A4",7,"PGK1",1.48519201476244,1.48519201476244
"A6","A4",8,"BNIP3",1.45691855593176,1.45691855593176
"A6","A4",9,"SLC2A1",1.44643925565662,1.44643925565662
"A6","A4",10,"KRT19",1.43606097303088,1.43606097303088
"A6","A4",11,"NELL1",1.41956152334937,1.41956152334937
"A6","A4",12,"SCD",1.34049577428894,1.34049577428894
"A6","A4",13,"DDIT4",1.33401522109796,1.33401522109796
"A6","A4",14,"SERPINB1",1.32428073715486,1.32428073715486
"A6","A4",15,"PTPRR",1.29173891063355,1.29173891063355
"A6","A4",16,"CYP51A1",1.29096259273543,1.29096259273543
"A6","A4",17,"LDHA",1.26707361607465,1.26707361607465
"A6","A4",18,"GAPDH",1.2556945510626,1.2556945510626
"A6","A4",19,"HILPDA",1.18022744396374,1.18022744396374
"A6","A4",20,"SLC6A8",1.13307447520492,1.13307447520492
"A6","A4",21,"SLC11A2",1.11919166862962,1.11919166862962
"A6","A4",22,"PDLIM4",1.06142052665945,1.06142052665945
"A6","A4",23,"DSP",1.04890909646763,1.04890909646763
"A6","A4",24,"FAM13A",1.03006394149225,1.03006394149225
"A6","A4",25,"KRT18",1.01450008630466,1.01450008630466
"A6","A4",26,"GBE1",1.0063170993936,1.0063170993936
"A6","A4",27,"MMP7",1.00440675263774,1.00440675263774
"A6","A4",28,"JUN",0.996056636038619,0.996056636038619
"A6","A4",29,"KLK7",0.994713915721486,0.994713915721486
"A6","A4",30,"ERO1A",0.961359861475473,0.961359861475473
"A6","A4",31,"S100A14",0.927522419369697,0.927522419369697
"A6","A4",32,"PLOD2",0.923022795292223,0.923022795292223
"A6","A4",33,"GDF15",0.90678590516153,0.90678590516153
"A6","A4",34,"ETS2",0.904535915327903,0.904535915327903
"A6","A4",35,"HNRNPA1",0.898947214538321,0.898947214538321
"A6","A4",36,"NPM1",0.88338358265367,0.88338358265367
"A6","A4",37,"LGALS1",0.881369071821124,0.881369071821124
"A6","A4",38,"FDFT1",0.8775145997283,0.8775145997283
"A6","A4",39,"ANXA2",0.861791324699318,0.861791324699318
"A6","A4",40,"MT1X",0.853639699794844,0.853639699794844
"A6","A4",41,"SNHG29",0.850050028235429,0.850050028235429
"A6","A4",42,"LGALS4",0.846611054350083,0.846611054350083
"A6","A4",43,"NAP1L1",0.845785450473713,0.845785450473713
"A6","A4",44,"PDE10A",0.84148080156586,0.84148080156586
"A6","A4",45,"TAGLN2",0.839590794499776,0.839590794499776
"A6","A4",46,"FABP1",0.824074739708832,0.824074739708832
"A6","A4",47,"FDPS",0.787427212551916,0.787427212551916
"A6","A4",48,"BTG1",0.783360679972635,0.783360679972635
"A6","A4",49,"AQP5",-0.778079506486041,0.778079506486041
"A6","A4",50,"TM4SF1",0.776610271908949,0.776610271908949
"A6","A4",51,"RACK1",0.76237044288581,0.76237044288581
"A6","A4",52,"PABPC1",0.760012110897237,0.760012110897237
"A6","A4",53,"IER3",0.756231563122987,0.756231563122987
"A6","A4",54,"CLDN4",0.747115453701824,0.747115453701824
"A6","A4",55,"NDRG1",0.740334945259827,0.740334945259827
"A6","A4",56,"PGAM1",0.736263877634029,0.736263877634029
"A6","A4",57,"PERP",0.735135150402201,0.735135150402201
"A6","A4",58,"MSMO1",0.730457423474324,0.730457423474324
"A6","A4",59,"S100A10",0.729444762975887,0.729444762975887
"A6","A4",60,"TSPAN8",0.724393124879909,0.724393124879909
"A6","A4",61,"SPINT2",0.72413957757265,0.72413957757265
"A6","A4",62,"MALRD1",0.71572946162646,0.71572946162646
"A6","A4",63,"ADM",0.708475436554609,0.708475436554609
"A6","A4",64,"ACTG1",0.697778323694581,0.697778323694581
"A6","A4",65,"ZNF511",0.694236768619171,0.694236768619171
"A6","A4",66,"INSIG2",0.693588209532472,0.693588209532472
"A6","A4",67,"P4HA2",0.689815893337904,0.689815893337904
"A6","A4",68,"CLDN7",0.676818040093956,0.676818040093956
"A6","A4",69,"ATP1B1",0.672046372606683,0.672046372606683
"A6","A4",70,"PPIA",0.671419661430786,0.671419661430786
"A6","A4",71,"SAT1",0.668690950499878,0.668690950499878
"A6","A4",72,"ECM1",0.662224348286371,0.662224348286371
"A6","A4",73,"KRT8",0.661818423447062,0.661818423447062
"A6","A4",74,"MGST1",0.64655751263404,0.64655751263404
