"archetype","rank","gene","cor","n_cells_used"
"A2",94,"ATP5F1E",0.296502363146243,13245
"A2",95,"GBE1",0.296294516281534,13245
"A2",96,"AGPAT2",0.296032656834062,13245
"A2",97,"UQCR11",0.292391053577768,13245
"A2",98,"TMEM265",0.291768529560078,13245
"A2",99,"RBM39",0.291754635338465,13245
"A2",100,"SNHG6",0.290740258554039,13245
"A3",1,"CES2",0.68501985856955,13245
"A3",2,"KRT20",0.669024896325917,13245
"A3",3,"EPCAM",0.668470411436243,13245
"A3",4,"CLDN7",0.665037970700106,13245
"A3",5,"C17orf78",0.651403471905276,13245
"A3",6,"SLC40A1",0.616194378726418,13245
"A3",7,"S100A14",0.603099991566961,13245
"A3",8,"B2M",0.581406464679489,13245
"A3",9,"RNF186",0.576460760322312,13245
"A3",10,"ANPEP",0.572565704177065,13245
"A3",11,"MUC13",0.566596200841065,13245
"A3",12,"SLC6A8",0.562427623832768,13245
"A3",13,"ERO1A",0.560532245521631,13245
"A3",14,"FABP2",0.552818536622902,13245
"A3",15,"ANGPTL4",0.551358062793171,13245
"A3",16,"CDHR5",0.551020566553893,13245
"A3",17,"HSD17B2",0.541136999702181,13245
"A3",18,"IL32",0.537251251615675,13245
"A3",19,"PRAP1",0.534545367924412,13245
"A3",20,"CDA",0.532752586844547,13245
"A3",21,"HHLA2",0.531715028765336,13245
"A3",22,"PKIB",0.530307838490696,13245
"A3",23,"SPINT2",0.519031876843376,13245
"A3",24,"TM6SF2",0.517830882621481,13245
"A3",25,"TM4SF5",0.512678703837599,13245
"A3",26,"GAPDH",0.512590809683566,13245
"A3",27,"PLAC8",0.511437645042921,13245
"A3",28,"ITM2B",0.510073890239406,13245
"A3",29,"TSPAN1",0.508658001284457,13245
"A3",30,"SLC50A1",0.508377652015414,13245
"A3",31,"HLA-C",0.507413873467984,13245
"A3",32,"LGALS3",0.507363006846733,13245
"A3",33,"TM4SF20",0.504343212208169,13245
"A3",34,"RBP2",0.50287020174879,13245
"A3",35,"LINC01133",0.500077999751061,13245
"A3",36,"PRSS8",0.499885811046614,13245
"A3",37,"SLC22A18",0.498807837273986,13245
"A3",38,"C15orf48",0.49753532296235,13245
"A3",39,"P4HB",0.49746869291833,13245
"A3",40,"ALDOB",0.497191845830226,13245
"A3",41,"SI",0.494367772532347,13245
"A3",42,"PLA2G12B",0.493476813124416,13245
"A3",43,"MEP1A",0.493019477529946,13245
"A3",44,"HLA-A",0.492533623200485,13245
"A3",45,"ENSG00000259347",0.490545342041881,13245
"A3",46,"VDAC2",0.489943496226293,13245
"A3",47,"LDHA",0.487705865315138,13245
"A3",48,"MTTP",0.482970331606753,13245
"A3",49,"P4HA2",0.482527209006922,13245
"A3",50,"SDCBP2",0.482057697824431,13245
"A3",51,"EFNA1",0.481729458161448,13245
"A3",52,"SLC3A1",0.481274500748829,13245
"A3",53,"BTNL8",0.479071705345247,13245
"A3",54,"GBP3",0.477645831452665,13245
"A3",55,"MYL12B",0.477535010827861,13245
"A3",56,"TIMP2",0.47489088377985,13245
"A3",57,"TMEM45B",0.470640918377814,13245
"A3",58,"CTSD",0.470639142980403,13245
"A3",59,"ABCG2",0.468006374251737,13245
"A3",60,"SLC11A2",0.467108397753724,13245
"A3",61,"CDHR2",0.465618532188037,13245
"A3",62,"TSPAN8",0.461297120885836,13245
"A3",63,"MUC17",0.461022205342149,13245
"A3",64,"SLC51B",0.45940590688356,13245
"A3",65,"RHOC",0.45458804331539,13245
"A3",66,"A1CF",0.453784109464868,13245
"A3",67,"GCNT3",0.452057131426522,13245
"A3",68,"FTH1",0.450461116876062,13245
"A3",69,"BTNL3",0.44927441162801,13245
"A3",70,"APOBEC1",0.449055601565103,13245
"A3",71,"PTTG1IP",0.447771643610697,13245
"A3",72,"CYSTM1",0.444611253078999,13245
"A3",73,"RBCK1",0.444309343263817,13245
"A3",74,"GLRX",0.443515484569338,13245
"A3",75,"CYP3A4",0.443122014523387,13245
"A3",76,"PLOD2",0.442316191188156,13245
"A3",77,"FXYD3",0.441812537686132,13245
"A3",78,"PPP1R14D",0.439745563525119,13245
"A3",79,"CMAS",0.435334962334958,13245
"A3",80,"TMEM59",0.434490142174537,13245
"A3",81,"TMBIM6",0.430835533263049,13245
"A3",82,"GPX4",0.430819516789857,13245
"A3",83,"CD68",0.427672664845009,13245
"A3",84,"TRIM31",0.426444786475943,13245
"A3",85,"BHLHE40",0.426422274612432,13245
"A3",86,"PGAM1",0.42629535702525,13245
"A3",87,"ANKRD40CL",0.425842373437328,13245
"A3",88,"LGALS4",0.424599388534876,13245
"A3",89,"HSPA5",0.424108223123921,13245
"A3",90,"GAL3ST1",0.423345092135582,13245
"A3",91,"SCD",0.423169626227909,13245
"A3",92,"ERICH4",0.42278534634947,13245
"A3",93,"NEU1",0.422489448042967,13245
"A3",94,"ABCB1",0.421983853764933,13245
"A3",95,"PRR13",0.42191733459161,13245
"A3",96,"ENSG00000255367",0.421760898872283,13245
"A3",97,"ABCC2",0.420153273234578,13245
"A3",98,"EGLN3",0.419663222783409,13245
"A3",99,"ATP1B1",0.418446987774879,13245
"A3",100,"SLC7A9",0.418362819333925,13245
"A4",1,"HMGB1",0.634252408268609,13245
"A4",2,"MKI67",0.628740381188073,13245
"A4",3,"TOP2A",0.611733386591404,13245
"A4",4,"TUBA1B",0.600315405668331,13245
"A4",5,"CENPF",0.599579179414827,13245
"A4",6,"BIRC5",0.57550355306392,13245
"A4",7,"PBK",0.575271648810974,13245
"A4",8,"PA2G4",0.564859541444783,13245
"A4",9,"PRC1",0.563807196437442,13245
"A4",10,"NUSAP1",0.557714407241416,13245
